jobs,interface,Num_intf_residues,Polar,Hydrophobhic,Charged,contact_pairs,sc,hb,sb,int_solv_en,int_area,pi_score,pdb,pvalue,iptm_ptm,iptm,mpDockQ/pDockQ,file_source,label,pred,model_1_multimer_v3_pred_0,model_2_multimer_v3_pred_0,model_3_multimer_v3_pred_0,model_4_multimer_v3_pred_0,model_5_multimer_v3_pred_0
1Q8U_1_and_1Q8U_2,C_B,22.0,0.318,0.318,0.273,22.0,0.723,8.0,14.0,-4.77,1011.46,2.03,,,0.956852189426184,0.9585533,0.503851547607888,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.956852189426184,0.9551130434255599,0.9527709499514342,0.9526674627401087,0.9485803509351702
2JDV_1_and_2JDV_2,C_B,22.0,0.318,0.318,0.273,22.0,0.732,8.0,14.0,-4.36,1014.22,2.07,,,0.9564931068568502,0.95851684,0.5033291930025798,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9564931068568502,0.953078383652079,0.9522193488516083,0.9513312376522806,0.9502562509583234
2JDT_1_and_2JDT_2,C_B,23.0,0.304,0.304,0.261,23.0,0.716,8.0,14.0,-4.26,997.79,1.96,,,0.9563578941539602,0.95846575,0.5078293208629902,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9563578941539602,0.9519489613132517,0.9515125922466717,0.9512431146109384,0.9499372736572762
2GFC_1_and_2GFC_2,C_B,22.0,0.318,0.318,0.273,22.0,0.711,9.0,18.0,-3.11,1043.46,1.72,,,0.956638711347474,0.95844686,0.5161355887447503,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9566387113474741,0.9538006543578651,0.9520292558651298,0.9519804779691038,0.6921917424602825
3OXT_1_and_3OXT_2,C_B,22.0,0.318,0.318,0.273,22.0,0.726,8.0,14.0,-4.58,1015.44,2.04,,,0.956343403172331,0.9584371,0.5164621029784321,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.956343403172331,0.9527066086290159,0.9516998872391363,0.950862434348696,0.9500252811202248
2GNF_1_and_2GNF_2,C_B,20.0,0.35,0.35,0.2,21.0,0.715,8.0,14.0,-5.65,1016.72,2.04,,,0.9565050533282048,0.9584024,0.5132167194740829,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9565050533282049,0.9546721898491577,0.9532359228695049,0.9520659521573953,0.948259034506082
1ATP_1_and_1ATP_2,C_B,22.0,0.318,0.318,0.273,22.0,0.725,8.0,14.0,-4.07,1028.46,2.03,,,0.9564563407878884,0.9583863,0.5098615892442001,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9564563407878885,0.9531791059178614,0.9521297475886038,0.9519101480806808,0.9507087481615043
1Q8W_1_and_1Q8W_2,C_B,22.0,0.318,0.318,0.273,22.0,0.726,8.0,14.0,-6.3,1023.6,2.13,,,0.9568262777244878,0.958331,0.4970977661122686,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9568262777244878,0.9542596809071776,0.9529986498916839,0.9522247771102585,0.9502645497335298
1SVG_1_and_1SVG_2,C_B,22.0,0.318,0.318,0.273,22.0,0.724,7.0,12.0,-6.24,1026.57,2.24,,,0.9566445817444954,0.9582116,0.495284075084529,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9566445817444954,0.9528825774979462,0.952719426826565,0.9522208991998287,0.9505923459768584
1SVH_1_and_1SVH_2,C_B,22.0,0.318,0.318,0.273,22.0,0.734,7.0,14.0,-5.78,1026.72,2.14,,,0.9566634807986356,0.95820916,0.5153446683205501,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9566634807986356,0.9539528817048252,0.953129385640201,0.9529892689502475,0.6235942910279773
1APM_1_and_1APM_2,C_B,23.0,0.304,0.304,0.261,23.0,0.731,7.0,13.0,-4.31,1024.41,2.12,,,0.9562683782494016,0.9581659,0.509071788848109,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9562683782494017,0.9545571018341744,0.951752165808587,0.9504941865187106,0.9468426534562837
1VEB_1_and_1VEB_2,C_B,22.0,0.318,0.318,0.273,22.0,0.727,8.0,14.0,-3.95,1032.95,2.03,,,0.9565727517360142,0.95811224,0.5032092076901086,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9565727517360142,0.9536420583995874,0.9535613099736441,0.9519742529727901,0.9506507258911677
3KKV_1_and_3KKV_2,C_B,22.0,0.318,0.318,0.273,22.0,0.725,8.0,14.0,-5.86,1027.46,2.1,,,0.9566320739514268,0.9580551,0.5093740307769173,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9566320739514268,0.95333850663549,0.9526567264937398,0.9519716820714237,0.9490908257169044
3NX8_1_and_3NX8_2,C_B,22.0,0.318,0.318,0.273,22.0,0.729,8.0,14.0,-6.32,1016.93,2.14,,,0.9555287438692552,0.9580425,0.5151825618144249,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9555287438692551,0.952763208685592,0.9526573702601948,0.9521120001794962,0.7041672784152543
3L9N_1_and_3L9N_2,C_B,22.0,0.318,0.318,0.273,22.0,0.715,7.0,18.0,-4.87,1031.12,1.76,,,0.9556668785492768,0.95803744,0.51473020130904,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9556668785492769,0.9528412045684251,0.9525015392342512,0.9518631550530708,0.946739398528349
2UW7_1_and_2UW7_2,C_B,22.0,0.318,0.318,0.273,22.0,0.725,8.0,14.0,-6.47,1000.64,2.12,,,0.9556384275814678,0.95800996,0.5080123197364401,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9556384275814678,0.9521406659408919,0.9519792896827797,0.9513446536376662,0.9488997347381156
1STC_1_and_1STC_2,C_B,22.0,0.318,0.318,0.273,22.0,0.72,8.0,14.0,-4.69,1014.54,2.02,,,0.9563041090108476,0.9579983,0.507270460458543,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9563041090108477,0.9536528481773732,0.952851737281468,0.9520837098470188,0.9514922781519305
2UVZ_1_and_2UVZ_2,C_B,23.0,0.304,0.304,0.261,23.0,0.72,8.0,14.0,-5.9,1014.1,2.07,,,0.9557233454352492,0.9579536,0.4964506172921387,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9557233454352491,0.9515040586367938,0.951139353592171,0.9505818847004205,0.9500614253286248
1Q24_1_and_1Q24_2,C_B,22.0,0.318,0.318,0.273,22.0,0.72,8.0,14.0,-5.99,1002.59,2.07,,,0.956417613410968,0.95794487,0.501934493917869,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.956417613410968,0.9530083788839862,0.9519693587387263,0.951682937848921,0.951119512411131
3OOG_1_and_3OOG_2,C_B,22.0,0.318,0.318,0.273,22.0,0.72,8.0,14.0,-6.07,1022.68,2.08,,,0.956111724496876,0.957849,0.5101412981556528,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.956111724496876,0.9538006258731043,0.9518809215107181,0.9510986696225392,0.9496362087167827
2UW6_1_and_2UW6_2,C_B,22.0,0.318,0.318,0.273,22.0,0.707,7.0,14.0,-6.05,992.13,1.97,,,0.9556299001489736,0.95782524,0.5003626057264428,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9556299001489735,0.9525369281184506,0.9524240221325496,0.9507713924470164,0.95069057937718
2UW3_1_and_2UW3_2,C_B,22.0,0.318,0.318,0.273,22.0,0.722,8.0,14.0,-5.87,1000.76,2.08,,,0.9556766460475584,0.957713,0.5000310361729525,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9556766460475585,0.952349369315173,0.951923748604747,0.9506406985955919,0.950101939810621
2UW0_1_and_2UW0_2,C_B,22.0,0.318,0.318,0.273,22.0,0.716,8.0,15.0,-2.86,1021.99,1.86,,,0.9553412373766844,0.957697,0.5051525891922442,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9553412373766843,0.9524407281175652,0.9514315653149843,0.9507729803163874,0.9475602243255633
2F7Z_1_and_2F7Z_2,C_B,22.0,0.318,0.318,0.273,22.0,0.722,7.0,14.0,-6.09,1021.79,2.07,,,0.955810688025254,0.95767325,0.512981707510598,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9558106880252539,0.9528028728294011,0.9527769724905458,0.9511478860131577,0.5536287990492399
3POO_1_and_3POO_2,C_B,22.0,0.318,0.318,0.273,22.0,0.721,8.0,14.0,-6.12,1012.66,2.09,,,0.9557633458392288,0.95763063,0.4960326412863309,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9557633458392287,0.9527456022928809,0.9522144119482877,0.9518454330578439,0.9514599115489395
3AMA_1_and_3AMA_2,C_B,22.0,0.318,0.318,0.273,22.0,0.729,8.0,14.0,-4.34,1006.59,2.06,,,0.9552924489988236,0.9575823,0.4930362884070438,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9552924489988235,0.953323938883268,0.9527969770865943,0.9527410898597843,0.9495535573979096
2OJF_1_and_2OJF_2,C_B,23.0,0.304,0.304,0.261,23.0,0.733,8.0,14.0,-4.65,1014.88,2.09,,,0.955714977376895,0.95757574,0.5093519992833061,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.955714977376895,0.9549062480451319,0.9521390491608834,0.9510816267989448,0.9502201092963705
1YDS_1_and_1YDS_2,C_B,22.0,0.318,0.318,0.273,22.0,0.725,7.0,14.0,-6.38,1011.7,2.11,,,0.9558573740991632,0.95753837,0.4951493477726624,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9558573740991632,0.9522664004674128,0.9519236140425503,0.951509591770842,0.9506934967908345
1SVE_1_and_1SVE_2,C_B,22.0,0.318,0.318,0.273,22.0,0.725,8.0,14.0,-4.61,1015.28,2.04,,,0.9558563806508285,0.95752907,0.494182216334422,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9558563806508283,0.9540026823520937,0.9529741112393593,0.9514153169567894,0.951293083617558
2C1B_1_and_2C1B_2,C_B,22.0,0.318,0.318,0.273,22.0,0.718,8.0,14.0,-6.06,1013.22,2.06,,,0.9556075045632209,0.9575033,0.4996336275494539,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9556075045632207,0.953317337741148,0.9517018442636629,0.9515930107289419,0.949727182402492
2GNH_2_and_2GNH_1,C_B,20.0,0.35,0.35,0.2,21.0,0.721,8.0,15.0,-5.42,1033.52,2.01,,,0.9556193840613528,0.9574518,0.5056923390063628,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9556193840613528,0.9543086378909795,0.9525841147784238,0.9519260425935173,0.9515140234084126
2CPK_1_and_2CPK_2,C_B,22.0,0.318,0.318,0.273,22.0,0.722,8.0,14.0,-4.32,1024.82,2.02,,,0.9558691458876288,0.9574251,0.5004867170795498,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9558691458876287,0.9532101712626696,0.9531765121814767,0.9519798948504442,0.9496104093771092
2C1A_1_and_2C1A_2,C_B,23.0,0.304,0.304,0.261,23.0,0.718,8.0,14.0,-6.32,1015.08,2.07,,,0.9550826327769046,0.9574178,0.4941624600350915,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9550826327769046,0.9521804530936144,0.9519863582313385,0.9517321871407054,0.9514467865338394
3AMB_1_and_3AMB_2,C_B,22.0,0.318,0.318,0.273,22.0,0.718,8.0,14.0,-4.68,1001.07,2.0,,,0.955354057195086,0.95737064,0.4931846719751893,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9553540571950861,0.9541399553407414,0.9523770192512055,0.9513807627017732,0.6358440459528109
2ERZ_1_and_2ERZ_2,C_B,22.0,0.318,0.318,0.273,22.0,0.737,8.0,14.0,-5.93,1024.91,2.18,,,0.9551417526961417,0.9573605,0.5076554448930558,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9551417526961415,0.9519068541662249,0.9507389509081016,0.9506464848409589,0.9504381228920484
1Q62_1_and_1Q62_2,C_B,22.0,0.318,0.318,0.273,22.0,0.726,8.0,15.0,-5.27,1020.52,2.01,,,0.9557505116056983,0.9573442,0.5016087285722258,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9557505116056983,0.9527696346863235,0.9518099668973591,0.9512083150516397,0.949428251364465
2UVY_1_and_2UVY_2,C_B,22.0,0.318,0.318,0.273,22.0,0.72,7.0,14.0,-4.33,1015.81,1.97,,,0.9551971113373704,0.95733255,0.4857056893842825,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9551971113373705,0.9532340706468476,0.9517820173627847,0.9517017781683873,0.6777459870883685
3OW3_1_and_3OW3_2,C_B,23.0,0.304,0.304,0.261,23.0,0.722,8.0,14.0,-4.27,1022.53,2.02,,,0.9556417315663772,0.9573082,0.4995976407115053,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9556417315663772,0.952840714642842,0.9524026773536899,0.9507840642040463,0.9474744552000496
3OWP_1_and_3OWP_2,C_B,22.0,0.318,0.318,0.273,22.0,0.722,7.0,12.0,-4.73,1010.7,2.13,,,0.9554497092509512,0.9573014,0.4952117867962969,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9554497092509511,0.9532545462079266,0.951964378737444,0.9503626469280857,0.9499004561814848
3DND_1_and_3DND_2,C_B,22.0,0.318,0.318,0.273,22.0,0.723,7.0,14.0,-4.31,1013.11,2.0,,,0.9551995097089824,0.9572718,0.492136757459791,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9551995097089825,0.9532718035608122,0.9530319509261701,0.9514485401186481,0.9513722592863276
2F7X_1_and_2F7X_2,C_B,22.0,0.318,0.318,0.273,22.0,0.723,7.0,13.0,-5.9,1028.5,2.13,,,0.9555837414444868,0.95721924,0.5060015798822931,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9555837414444868,0.9525423304520969,0.952527234748415,0.9517353284822407,0.9508022947080474
1JLU_1_and_1JLU_2,C_B,22.0,0.318,0.318,0.273,22.0,0.711,12.0,17.0,-2.92,1031.41,1.78,,,0.9550835484054012,0.9571743,0.5020842283064141,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9550835484054013,0.954069618029888,0.9524623538704159,0.9523810374041327,0.9501609689590539
1L3R_1_and_1L3R_2,C_B,22.0,0.318,0.318,0.273,22.0,0.706,12.0,16.0,-2.82,1035.0,1.8,,,0.9551777063782494,0.9571343,0.5026969614272291,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9551777063782494,0.9551420692927428,0.9536001624075507,0.9526469578563177,0.94816627740349
2VO6_1_and_2VO6_2,C_B,22.0,0.318,0.318,0.273,22.0,0.726,8.0,14.0,-3.59,1019.08,2.0,,,0.9549596017532012,0.9570564,0.506598955519695,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9549596017532013,0.9547422118454142,0.9516192637794904,0.9513844173903242,0.9488625682538323
2UW5_1_and_2UW5_2,C_B,22.0,0.318,0.318,0.273,22.0,0.712,7.0,13.0,-4.62,1002.86,1.99,,,0.954985593362676,0.9570391,0.4973317187729621,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9549855933626759,0.9520210363181001,0.9513468782323897,0.9513195550776478,0.9509325351224297
2UVX_1_and_2UVX_2,C_B,22.0,0.318,0.318,0.273,22.0,0.724,7.0,14.0,-4.4,1017.82,2.0,,,0.954897498195744,0.957023,0.4929691031008696,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9548974981957441,0.9523431900486352,0.9518402183904681,0.9510818488945731,0.9507317984953001
1Q61_1_and_1Q61_2,C_B,22.0,0.318,0.318,0.273,22.0,0.726,8.0,15.0,-5.8,1003.39,2.03,,,0.955188134130301,0.9569222,0.4938895363772689,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.955188134130301,0.9541219382621492,0.9518681394680423,0.951085951113769,0.9498083224760933
3P0M_1_and_3P0M_2,C_B,22.0,0.318,0.318,0.273,22.0,0.725,7.0,14.0,-4.61,1011.39,2.02,,,0.9551229928651892,0.95688903,0.5015959794843795,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9551229928651892,0.9534337943885911,0.951695489380285,0.9513057431873295,0.9507717114844816
2QUR_1_and_2QUR_2,C_B,23.0,0.304,0.304,0.261,23.0,0.73,8.0,12.0,-4.16,1002.4,2.19,,,0.95457947224673,0.95685947,0.4849273641244297,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.95457947224673,0.9535461829914004,0.9519781629730347,0.9501458449087389,0.949128149033927
2VNY_1_and_2VNY_2,C_B,23.0,0.304,0.304,0.261,23.0,0.722,8.0,14.0,-3.75,1010.76,1.98,,,0.9548207498252606,0.9568379,0.5054003177839106,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9548207498252606,0.953760649535899,0.952460747727211,0.9510648981368607,0.9505304935355279
2F7E_1_and_2F7E_2,C_B,22.0,0.318,0.318,0.273,22.0,0.724,8.0,14.0,-5.87,1028.29,2.09,,,0.9547431037220724,0.95673156,0.5108702338965554,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9547431037220723,0.952900373448627,0.9522182483426177,0.9506653355569673,0.9480407797853617
2OH0_1_and_2OH0_2,C_B,22.0,0.318,0.318,0.273,22.0,0.732,8.0,14.0,-6.17,1013.17,2.15,,,0.9548571357136152,0.95667166,0.5045275955347368,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9548571357136153,0.9530091436433463,0.952088519789186,0.9516777646780175,0.9479569843946926
3FJQ_2_and_3FJQ_1,C_B,22.0,0.318,0.318,0.273,22.0,0.714,8.0,14.0,-6.03,1011.2,2.05,,,0.9549632095272774,0.9566604,0.4919615331913674,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9549632095272774,0.9535841699175244,0.952661337605716,0.9508466951699476,0.9502598669993224
2VO7_1_and_2VO7_2,C_B,22.0,0.318,0.318,0.273,22.0,0.725,7.0,13.0,-4.41,1023.87,2.07,,,0.9546928708553684,0.9566583,0.4998589471773412,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9546928708553684,0.9542726447910459,0.9522266132440016,0.9520284310615013,0.9502761513345838
1Q8T_1_and_1Q8T_2,C_B,23.0,0.304,0.304,0.261,23.0,0.723,7.0,14.0,-4.78,1020.95,2.03,,,0.9552192110094092,0.9566562,0.5057938680468463,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9552192110094092,0.9548114876276997,0.9532413210366566,0.9509780046292892,0.946175730046094
2UW8_1_and_2UW8_2,C_B,22.0,0.318,0.318,0.273,22.0,0.721,8.0,14.0,-5.38,1018.14,2.04,,,0.9547369057547724,0.9566345,0.4978408968667939,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9547369057547724,0.9530963503877867,0.9527780877159404,0.9504869167082611,0.9500944928127327
2GNL_1_and_2GNL_2,C_B,22.0,0.318,0.318,0.273,22.0,0.72,7.0,14.0,-5.87,1024.53,2.06,,,0.9552637061344816,0.9566078,0.504313135925527,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9552637061344815,0.9541344229866011,0.9526129990442722,0.952164738849754,0.9505570718514291
1SMH_1_and_1SMH_2,C_B,22.0,0.318,0.318,0.273,22.0,0.718,8.0,18.0,-3.45,992.29,1.74,,,0.954648610912179,0.95657265,0.4782378108226672,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.954648610912179,0.9492763616375508,0.9492129271366024,0.9489917308363529,0.9487858869688385
2JDS_1_and_2JDS_2,C_B,22.0,0.318,0.318,0.273,22.0,0.721,7.0,14.0,-4.44,1024.15,1.99,,,0.9548420160877392,0.9565168,0.5065522950708466,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9548420160877393,0.9523796071209858,0.9520835913767247,0.9514256002074687,0.9506450977396526
1YDT_1_and_1YDT_2,C_B,22.0,0.318,0.318,0.273,22.0,0.72,8.0,14.0,-6.1,1016.33,2.08,,,0.9547975669467976,0.9560317,0.4990706209176181,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9547975669467977,0.9525073139358565,0.9522509362517508,0.9522198659291661,0.9479689200292083
1FMO_1_and_1FMO_2,C_B,22.0,0.318,0.318,0.273,22.0,0.725,8.0,14.0,-5.82,1026.83,2.1,,,0.954184579231967,0.9559127,0.5034817291958432,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.954184579231967,0.9525858300550891,0.9520654288769067,0.9515384889886793,0.7780628442391511
1RDQ_1_and_1RDQ_2,C_B,23.0,0.304,0.304,0.261,22.0,0.709,8.0,13.0,-6.15,1030.61,2.07,,,0.9542341633210552,0.9554878,0.5003404307339115,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9542341633210552,0.9518218343271079,0.9514050141167341,0.9513461203943036,0.9478870802583086
3DNE_1_and_3DNE_2,C_B,22.0,0.318,0.318,0.273,22.0,0.711,8.0,14.0,-6.03,1002.54,2.02,,,0.953603327043676,0.9554117,0.4951248037229143,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9536033270436759,0.9526108769417155,0.9523804666654885,0.9515066020663386,0.9474321559100908
3QO1_1_and_3QO1_2,C_B,38.0,0.342,0.421,0.053,33.0,0.63,8.0,2.0,-22.59,1834.14,1.88,,,0.933196024494012,0.9336431,0.6925887819184066,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.933196024494012,0.9288160336545628,0.9248820592397282,0.9233736677116922,0.9186990697684437
